"","COUNTRY","2011-01-01","2012-01-01","2013-01-01","2014-01-01","2015-01-01","2016-01-01","2017-01-01","2018-01-01","2019-01-01"
"1","United Kingdom",1.6043,1.5853,1.5642,1.6484,1.5284,1.3555,1.289,1.3363,1.2768
"2","Japan",79.6967,79.818,97.5971,105.7398,121.0491,108.6569,112.0986,110.3974,109.0188
"3","Korea, Rep.",1106.94,1126.1621,1094.6749,1052.2924,1130.9603,1159.3422,1129.0435,1099.2926,1165.8016
"4","China",6.463,6.3093,6.1478,6.162,6.2827,6.64,6.7569,6.609,6.9081
"5","Brazil",1.6723,1.9535,2.157,2.3512,3.336,3.4839,3.191,3.6513,3.944
"6","Germany",1.3931,1.2859,1.3281,1.3297,1.1096,1.1072,1.1301,1.1817,1.1194
"7","France",1.3931,1.2859,1.3281,1.3297,1.1096,1.1072,1.1301,1.1817,1.1194
"8","Australia",1.0332,1.0359,0.9683,0.9034,0.7522,0.7445,0.7671,0.7481,0.6952
"9","Italy",1.3931,1.2859,1.3281,1.3297,1.1096,1.1072,1.1301,1.1817,1.1194
"10","India",46.5782,53.3743,58.5149,60.9953,64.1073,67.1572,65.0659,68.3734,70.3777
