"","...2","Volume (F)...3","Volume (F)...4","Volume (F)...5","Volume (F)...6","Volume (F)...7","Volume (F)...8","Volume (R)...9","Volume (R)...10","China, PRC","South Korea"
"1","United Kingdom","3905195","3805681","4017209","4165429","4915379","4587092","4482707","4659178","China","Korea, Rep."
"2","Japan","3329014","3771563","3887328","3653454","3792997","3603786","3595607","3493313","China","Korea, Rep."
"3","China, PRC","1112287","1465503","1872033","2224787","2628570","3049942","3173915","2991813","China","Korea, Rep."
"4","South Korea","1211197","1295069","1437924","1473365","1775456","1982516","2334839","2210597","China","Korea, Rep."
"5","Brazil","1519009","1772940","2108357","2274305","2228291","1725479","1912447","2209372","China","Korea, Rep."
"6","Germany","1874119","1911441","2021597","2073675","2284912","2046288","2080425","2062462","China","Korea, Rep."
"7","France","1551027","1484732","1601301","1675898","1767343","1641152","1667506","1767461","China","Korea, Rep."
"8","India","696107","747833","905834","985667","1147693","1206771","1285466","1378035","China","Korea, Rep."
"9","Australia","1052480","1131611","1307582","1308707","1453103","1350508","1323703","1362431","China","Korea, Rep."
"10","Italy","907748","843851","885580","970293","1045424","988860","1032107","1073383","China","Korea, Rep."
